,Review_Text,Pred
0,"Could be one of the best place in gachibowli.
An underrated place. From here you can see the skyline of gachibowli.an awesome place.
Service is good. Value for money",4.0
1,I loved the food. Authentic Chinese and nice ambience. Taste was really good. Had rice noodles after a long time and it was pretty good. The lamb and dragon prawns are must try.,5.0
2,"I love this place in Gachibowli. I have been here several times now and the quality of food is amazing and the staff are good.

I highly recommend this place and just above this we have tiki shack.",5.0
3,"Too bad service, does not accept the Order multiple times & does not receive Calls too. And the best part, they cancel the Orders after money gets deducted. Very bad experience, I mean WORST Experience.",1.0
4,ordered nuts overloaded ice cream.fantastic taste.,5.0
5,"They always deny the table on weekends or Friday even though we book on Zomato or other apps due to high demand, this is not fair if we did a pre booking",1.0
6,good,5.0
7,I ordered Afghani chicken from here but I got Curry chicken with mix of omlate.i really disappointed from zomato.why they have this type of hotel in ordered list.i request zomato to please block this restaurant.,1.0
8,biryani is good,4.0
9,Ordered chicken dum and received at fine time even though ordered at very late night. Tastes smooth and not at all spicy which is good for non spicy lovers and ofcourse chicken too cooked well. Can order when u feel for Dum,2.0
10,Mixed Mandi....So far the best one I had.... ideal for 4 to 6 people who r foodies....ambience too gud....service neee to be improved. Seating good enough. Loved it. Try for the parties with ur friends.,5.0
11,I didn't get any gravey item sherva.. how can we eat without gravey don't you have sense to send without sherva along without Biryani...,1.0
12,"Visited here for saturday lunch. To my surprise it was not overcrowed so I was relieved that i could enjoy my lunch. The ambienece is soothing and refreshing . Ideal for a dinner or lunch date or to take your family . We ordered prawns battered in beer , thai noodles , kung pao chicken, mutton shorba and fried ice cream. All of the items were delicious and the quantity for one plate is good enough for 3 ppl serving. The prawns were fresh and tasty . I loved the fried ice cream ( a must try if u visit this place) . I would like to visit again",5.0
13,Delicious food with good quantity. Ordered a veg biriyani combo and was totally worth it. Go ahead and order your meals for a total value for money experience.,1.0
14,"It is a great place for a quiet dinner and ambience is lovely but the food was a disappointment.
the place doesn't feel like we are inside the noisy city which is absolutely delightful, but I wish I could say the same about the food and drinks!!
staff is courteous and serving time is excellent, you don't have to wait for your food or drinks for more than 10-15 mins no matter what you order.
Ambience: 5/5
Staff; 4.5/5
Food: 1/5",4.0
15,"Worst daal makhani, i have ever tasted in my life, kinda weird taste it was.
Minus rating is not there otherwise i would definitely have punched that.",1.0
16,"The food is awesome very tasty 😊
Staff Suvendu and Raza also took very good care of us. The starter specially the azwaini prawns was too yummy.. had a great experience with my team. Will surely visit again.",5.0
17,"Wow.... wow....wow.... who say hyderabad is not happening come and drop in tiki.... it’s a awesome place located at easy access to all the software company’s 5th floor ratandeep building no word to talk about this place just come and feel it
...... cheers guys......",5.0
